  0.000000000000E+00  0.125000000000E+00  0.468749999994E-03  0.374999999995E+00  0.468749999998E-03
  0.100000000000E-02  0.124999531251E+00  0.468748291012E-03  0.374998632810E+00  0.468748291016E-03
  0.200000000000E-02  0.124999062503E+00  0.468746679691E-03  0.374997343752E+00  0.468746679695E-03
  0.300000000000E-02  0.124998593757E+00  0.468745166026E-03  0.374996132821E+00  0.468745166030E-03
  0.400000000000E-02  0.124998125013E+00  0.468743750016E-03  0.374995000013E+00  0.468743750020E-03
  0.500000000000E-02  0.124997656270E+00  0.468742431658E-03  0.374993945326E+00  0.468742431662E-03
  0.600000000000E-02  0.124997187528E+00  0.468741210949E-03  0.374992968759E+00  0.468741210953E-03
  0.700000000000E-02  0.124996718787E+00  0.468740087887E-03  0.374992070310E+00  0.468740087892E-03
  0.800000000000E-02  0.124996250048E+00  0.468739062470E-03  0.374991249976E+00  0.468739062474E-03
  0.900000000000E-02  0.124995781309E+00  0.468738134695E-03  0.374990507756E+00  0.468738134699E-03
  0.100000000000E-01  0.124995312572E+00  0.468737304560E-03  0.374989843648E+00  0.468737304564E-03
  0.110000000000E-01  0.124994843835E+00  0.468736572062E-03  0.374989257650E+00  0.468736572067E-03
  0.120000000000E-01  0.124994375098E+00  0.468735937201E-03  0.374988749761E+00  0.468735937206E-03
  0.130000000000E-01  0.124993906363E+00  0.468735399974E-03  0.374988319979E+00  0.468735399979E-03
  0.140000000000E-01  0.124993437628E+00  0.468734960380E-03  0.374987968304E+00  0.468734960384E-03
  0.150000000000E-01  0.124992968893E+00  0.468734618415E-03  0.374987694732E+00  0.468734618420E-03
  0.160000000000E-01  0.124992500158E+00  0.468734374080E-03  0.374987499264E+00  0.468734374084E-03
  0.170000000000E-01  0.124992031424E+00  0.468734227372E-03  0.374987381898E+00  0.468734227376E-03
  0.180000000000E-01  0.124991562690E+00  0.468734178290E-03  0.374987342632E+00  0.468734178294E-03
  0.190000000000E-01  0.124991093956E+00  0.468734226832E-03  0.374987381466E+00  0.468734226836E-03
  0.200000000000E-01  0.124990625221E+00  0.468734372998E-03  0.374987498398E+00  0.468734373002E-03
  0.210000000000E-01  0.124990156487E+00  0.468734616785E-03  0.374987693428E+00  0.468734616790E-03
  0.220000000000E-01  0.124989687752E+00  0.468734958194E-03  0.374987966555E+00  0.468734958198E-03
  0.230000000000E-01  0.124989219017E+00  0.468735397222E-03  0.374988317778E+00  0.468735397226E-03
